word,care_hlcts,fairness_hlcts,loyalty_hlcts,authority_hlcts,sanctity_hlcts,total_seen,seen_care,seen_fairness,seen_loyalty,seen_authority,seen_sanctity,care_pos,care_neg,care_neu,care_sent,fairness_pos,fairness_neg,fairness_neu,fairness_sent,loyalty_pos,loyalty_neg,loyalty_neu,loyalty_sent,authority_pos,authority_neg,authority_neu,authority_sent,sanctity_pos,sanctity_neg,sanctity_neu,sanctity_sent,avg_pos,avg_neg,avg_neu,sum_hl,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,ind_vader,ind_comp,tag,care.virtue,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.vice,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,foundation
liked,0,1,5,2,2,107,17,21,29,23,17,0,0,0,0,0.649,0,0.351,0.7506,0.4108,0.0406,0.5486,0.41356,0.4475,0,0.5525,0.4215,0.3855,0,0.6145,0.4215,0,0,0,10,0,0.047619048,0.172413793,0.086956522,0.117647059,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,v,0,0.047619048,0.172413793,0.086956522,0.117647059,0,0,0,0,0,loyalty.virtue
successor,2,2,9,2,2,192,35,43,46,30,38,0.3145,0,0.6855,0.2263,0.5355,0,0.4645,0.33335,0.460777778,0.087777778,0.451333333,0.289366667,0.3595,0.05,0.5905,0.47685,0.3315,0,0.6685,0.2263,0,0,0,17,0.057142857,0.046511628,0.195652174,0.066666667,0.052631579,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",0.2263,n,0.057142857,0.046511628,0.195652174,0.066666667,0.052631579,0,0,0,0,0,loyalty.virtue
effective,15,9,4,11,10,487,100,109,80,115,83,0.394066667,0.1756,0.4304,0.222826667,0.379666667,0.113,0.507333333,0.387566667,0.359,0.10075,0.54025,0.376675,0.391363636,0.129636364,0.478909091,0.242227273,0.4106,0.1356,0.4539,0.3848,0,0,0,49,0.15,0.082568807,0.05,0.095652174,0.120481928,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",0.4767,a,0.15,0.082568807,0.05,0.095652174,0.120481928,0,0,0,0,0,care.virtue
agreement,13,20,27,11,7,930,199,219,224,138,150,0.409384615,0.189846154,0.400769231,0.183230769,0.447,0.12835,0.42475,0.39254,0.515666667,0.118111111,0.366259259,0.476222222,0.433090909,0.186545455,0.380363636,0.2719,0.5,0.163428571,0.336571429,0.450014286,0,0,0,78,0.065326633,0.091324201,0.120535714,0.079710145,0.046666667,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",0.4939,n,0.065326633,0.091324201,0.120535714,0.079710145,0.046666667,0,0,0,0,0,loyalty.virtue
fit,2,3,2,4,5,208,59,31,36,48,36,0.35,0.211,0.439,-0.02555,0.312333333,0.140666667,0.547,0.1238,0.3785,0.1945,0.427,0.3586,0.33475,0.11925,0.546,0.3835,0.327,0.2752,0.3976,0.00402,0,0,0,16,0.033898305,0.096774194,0.055555556,0.083333333,0.138888889,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",0.3612,v,0.033898305,0.096774194,0.055555556,0.083333333,0.138888889,0,0,0,0,0,sanctity.virtue
expand,15,8,14,12,8,419,85,92,86,75,82,0.346866667,0.044466667,0.608666667,0.30384,0.378375,0.0925,0.529125,0.26175,0.470428571,0.079,0.450571429,0.403707143,0.419083333,0.119666667,0.46125,0.286516667,0.38025,0.020625,0.599125,0.503575,0,0,0,57,0.176470588,0.086956522,0.162790698,0.16,0.097560976,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",0.3182,v,0.176470588,0.086956522,0.162790698,0.16,0.097560976,0,0,0,0,0,care.virtue
killing,53,29,27,16,28,699,138,164,134,141,123,0.022358491,0.590415094,0.387207547,-0.768603774,0.036068966,0.594586207,0.36937931,-0.756796552,0.047296296,0.564148148,0.388555556,-0.716214815,0.071875,0.5855625,0.3425,-0.7234875,0.011,0.657071429,0.331928571,-0.788332143,0,0,0,153,0.384057971,0.176829268,0.201492537,0.113475177,0.227642276,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6597}",-0.6597,n,0,0,0,0,0,0.384057971,0.176829268,0.201492537,0.113475177,0.227642276,care.vice
fatal,8,5,3,2,3,170,36,39,25,37,33,0.13925,0.4545,0.40625,-0.4888125,0.1834,0.4298,0.3868,-0.49396,0,0.584666667,0.415333333,-0.723033333,0.1085,0.7,0.1915,-0.7291,0.072333333,0.633666667,0.294,-0.7387,0,0,0,21,0.222222222,0.128205128,0.12,0.054054054,0.090909091,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5423}",-0.5423,a,0,0,0,0,0,0.222222222,0.128205128,0.12,0.054054054,0.090909091,care.vice
fresh,2,7,5,3,8,242,45,43,48,50,57,0.5485,0.259,0.1925,0.1289,0.302142857,0.107714286,0.590285714,0.280357143,0.3978,0.1816,0.4206,0.18778,0.311333333,0.194666667,0.494,0.0778,0.39325,0.25375,0.353125,0.0284875,0,0,0,25,0.044444444,0.162790698,0.104166667,0.06,0.140350877,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",0.3182,a,0.044444444,0.162790698,0.104166667,0.06,0.140350877,0,0,0,0,0,fairness.virtue
cleared,5,2,2,0,0,71,19,13,11,11,17,0.2848,0.1416,0.5736,-0.12906,0.2975,0.094,0.608,0.12925,0.2875,0.09,0.6225,0.22135,0,0,0,0,0,0,0,0,0,0,0,9,0.263157895,0.153846154,0.181818182,0,0,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1027}",0.1027,v,0.263157895,0.153846154,0.181818182,0,0,0,0,0,0,0,care.virtue
prejudice,4,6,9,8,5,129,23,26,27,28,25,0.03825,0.5865,0.375,-0.747325,0,0.479833333,0.520166667,-0.675433333,0,0.507555556,0.492444444,-0.775544444,0.020375,0.489,0.490625,-0.7429875,0.025,0.5174,0.4576,-0.78988,0,0,0,32,0.173913043,0.230769231,0.333333333,0.285714286,0.2,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5106}",-0.5106,n,0,0,0,0,0,0.173913043,0.230769231,0.333333333,0.285714286,0.2,loyalty.vice
accepting,1,6,3,3,3,151,22,26,36,35,32,0.41,0.29,0.3,0.0516,0.402,0.061666667,0.536333333,0.2765,0.407333333,0.254666667,0.338,0.129166667,0.462333333,0,0.537666667,0.513966667,0.276666667,0.375333333,0.348333333,-0.253466667,0,0,0,16,0.045454545,0.230769231,0.083333333,0.085714286,0.09375,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",0.3818,v,0.045454545,0.230769231,0.083333333,0.085714286,0.09375,0,0,0,0,0,fairness.virtue
trapped,8,6,1,1,5,138,25,30,33,24,26,0.04425,0.525375,0.43025,-0.6894625,0,0.562333333,0.437666667,-0.608216667,0,0.766,0.234,-0.9201,0,0.873,0.127,-0.7845,0.0792,0.5168,0.404,-0.73258,0,0,0,21,0.32,0.2,0.03030303,0.041666667,0.192307692,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5267}",-0.5267,v,0,0,0,0,0,0.32,0.2,0.03030303,0.041666667,0.192307692,care.vice
special,22,19,18,15,11,1042,239,217,200,210,178,0.396090909,0.100045455,0.503909091,0.29695,0.424789474,0.090315789,0.484894737,0.443536842,0.435111111,0.095055556,0.469777778,0.365805556,0.3392,0.1168,0.544133333,0.206826667,0.447272727,0.033545455,0.519181818,0.458454545,0,0,0,85,0.092050209,0.087557604,0.09,0.071428571,0.061797753,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",0.4019,a,0.092050209,0.087557604,0.09,0.071428571,0.061797753,0,0,0,0,0,care.virtue
backing,0,6,3,5,1,161,26,36,37,27,35,0,0,0,0,0.308666667,0.109833333,0.5815,0.103566667,0.397333333,0.180333333,0.422,0.226666667,0.454,0.2274,0.3188,0.30744,0.602,0,0.398,0.8779,0,0,0,15,0,0.166666667,0.081081081,0.185185185,0.028571429,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}",0.0258,v,0,0.166666667,0.081081081,0.185185185,0.028571429,0,0,0,0,0,authority.virtue
swiftly,1,6,2,3,0,96,11,20,22,26,17,0.146,0.391,0.464,-0.5719,0.3965,0,0.6035,0.33705,0.3735,0.3535,0.273,0.04685,0.384666667,0.095666667,0.519666667,0.159766667,0,0,0,0,0,0,0,12,0.090909091,0.3,0.090909091,0.115384615,0,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.296,r,0.090909091,0.3,0.090909091,0.115384615,0,0,0,0,0,0,fairness.virtue
fear,37,27,43,34,25,1156,213,229,241,241,232,0.050108108,0.531459459,0.418432432,-0.606451351,0.04837037,0.47637037,0.475222222,-0.556592593,0.079837209,0.513697674,0.406488372,-0.522576744,0.100970588,0.462441176,0.436558824,-0.463344118,0.09156,0.45368,0.4548,-0.507988,0,0,0,166,0.17370892,0.11790393,0.178423237,0.141078838,0.107758621,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4939}",-0.4939,n,0,0,0,0,0,0.17370892,0.11790393,0.178423237,0.141078838,0.107758621,loyalty.vice
helping,26,16,14,14,15,650,133,118,122,143,134,0.424192308,0.083884615,0.491923077,0.322815385,0.3515625,0.147625,0.5008125,0.19066875,0.385142857,0.093071429,0.521857143,0.278928571,0.398428571,0.048428571,0.553142857,0.402528571,0.393733333,0.136933333,0.469333333,0.32058,0,0,0,85,0.195488722,0.13559322,0.114754098,0.097902098,0.111940299,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.296,v,0.195488722,0.13559322,0.114754098,0.097902098,0.111940299,0,0,0,0,0,care.virtue
playing,0,6,6,2,6,209,42,45,34,45,43,0,0,0,0,0.303,0.104833333,0.592166667,0.27585,0.322,0.085833333,0.592,0.2969,0.2385,0.256,0.5055,-0.1459,0.354833333,0.169333333,0.475833333,0.083633333,0,0,0,20,0,0.133333333,0.176470588,0.044444444,0.139534884,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",0.2023,v,0,0.133333333,0.176470588,0.044444444,0.139534884,0,0,0,0,0,loyalty.virtue
hope,29,20,24,22,26,1541,332,299,312,296,302,0.50837931,0.089896552,0.401724138,0.426703448,0.4054,0.119,0.47565,0.39136,0.421333333,0.108375,0.470291667,0.4070125,0.498818182,0.054181818,0.446863636,0.470931818,0.504923077,0.097038462,0.398153846,0.512276923,0,0,0,121,0.087349398,0.066889632,0.076923077,0.074324324,0.086092715,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,n,0.087349398,0.066889632,0.076923077,0.074324324,0.086092715,0,0,0,0,0,care.virtue
loyal,5,2,8,6,0,152,30,29,37,24,32,0.45,0.221,0.329,0.13654,0.453,0.1365,0.41,0.59215,0.489625,0.120375,0.39,0.4031125,0.622333333,0,0.377666667,0.746616667,0,0,0,0,0,0,0,21,0.166666667,0.068965517,0.216216216,0.25,0,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",0.4767,a,0.166666667,0.068965517,0.216216216,0.25,0,0,0,0,0,0,authority.virtue
reached,6,8,6,6,1,544,99,124,121,112,88,0.383833333,0.12,0.496166667,0.018466667,0.52375,0.02675,0.4495,0.478175,0.531,0,0.469,0.4166,0.260166667,0.1135,0.626333333,0.09965,0.135,0,0.865,0.1027,0,0,0,27,0.060606061,0.064516129,0.049586777,0.053571429,0.011363636,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1027}",0.1027,v,0.060606061,0.064516129,0.049586777,0.053571429,0.011363636,0,0,0,0,0,fairness.virtue
litigation,2,6,1,8,3,300,48,51,41,73,91,0.046,0.263,0.6905,-0.1901,0.176166667,0.364833333,0.459166667,-0.2392,0,0.205,0.795,-0.2023,0.166625,0.359,0.474375,-0.129625,0.114,0.236666667,0.649333333,-0.075566667,0,0,0,20,0.041666667,0.117647059,0.024390244,0.109589041,0.032967033,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.2023}",-0.2023,n,0,0,0,0,0,0.041666667,0.117647059,0.024390244,0.109589041,0.032967033,fairness.vice
enemies,12,7,10,9,13,277,57,53,52,52,63,0.085666667,0.483333333,0.431083333,-0.560533333,0.098571429,0.499571429,0.402,-0.390114286,0.0365,0.5438,0.4196,-0.69832,0.188,0.505888889,0.305888889,-0.556811111,0.088,0.547076923,0.364923077,-0.497484615,0,0,0,51,0.210526316,0.132075472,0.192307692,0.173076923,0.206349206,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4939}",-0.4939,n,0,0,0,0,0,0.210526316,0.132075472,0.192307692,0.173076923,0.206349206,care.vice
gain,6,7,11,1,5,310,58,81,59,59,53,0.555833333,0.1295,0.315,0.576,0.495142857,0.114285714,0.390571429,0.599428571,0.475727273,0.116363636,0.408090909,0.470290909,0.531,0,0.469,0.5267,0.5032,0.1508,0.3462,0.4539,0,0,0,30,0.103448276,0.086419753,0.186440678,0.016949153,0.094339623,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",0.5267,n,0.103448276,0.086419753,0.186440678,0.016949153,0.094339623,0,0,0,0,0,loyalty.virtue
